knot,target_up_to_mirror,upper_bound,run_start_lower,run_start_upper,recorded_workbook_lower,knotinfo_2026_09_08_lower,knotinfo_2026_09_08_upper,target_knotinfo_2026_09_08_upper,flip_index_zero_based,pd_used_crossings,reduced_crossings,phase,strict_improvement_vs_snapshot,certificate
12a_262,6_3,2,2,3,2,2,2,1,0,12,6,pre_rl,False,certificates/12a_262.json
13n_1439,9_27,2,1,3,1,1,3,1,14,24,9,pre_rl,True,certificates/13n_1439.json
13n_221,10_84,2,1,3,1,1,3,1,17,26,12,pre_rl,True,certificates/13n_221.json
13n_2251,11a_77,2,1,3,1,1,3,1,24,25,11,pre_rl,True,certificates/13n_2251.json
13n_2379,11a_345,2,2,3,2,2,3,1,24,25,13,pre_rl,True,certificates/13n_2379.json
13n_2639,11a_146,2,1,3,1,1,3,1,14,24,13,pre_rl,True,certificates/13n_2639.json
13n_2809,9_22,2,2,3,2,2,3,1,20,25,10,pre_rl,True,certificates/13n_2809.json
13n_2907,10_133,2,2,3,2,2,3,1,19,23,11,pre_rl,True,certificates/13n_2907.json
13n_3033,12n_646,2,2,3,2,2,3,1,14,27,12,pre_rl,True,certificates/13n_3033.json
13n_3589,10_131,2,2,3,2,2,3,1,19,28,10,pre_rl,True,certificates/13n_3589.json
13n_4025,10_26,2,1,3,1,1,3,1,19,25,10,pre_rl,True,certificates/13n_4025.json
13n_45,10_23,2,2,3,2,2,3,1,19,22,12,pre_rl,True,certificates/13n_45.json
13n_489,10_131,2,1,3,1,2,2,1,1,13,10,pre_rl,False,certificates/13n_489.json
13n_636,10_91,2,1,3,1,1,3,1,15,22,12,pre_rl,True,certificates/13n_636.json
13n_80,10_95,2,2,3,2,2,3,1,18,22,13,pre_rl,True,certificates/13n_80.json
